accession,name,kingdom,super_class,class,sub_class,group
HMDB0002362,"2,4-Diaminobutyric acid",Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Nitrogenous & organic acids
HMDB0002364,Oleanolic acid,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Triterpenoids,Lipids
HMDB0002368,Nervonic acid,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Lipids
HMDB0002390,3-Cresotinic acid,Organic compounds,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,Aromatics
HMDB0002391,Uvaol,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Triterpenoids,Lipids
HMDB0002393,N-Methyl-D-aspartic acid,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Nitrogenous & organic acids
HMDB0002404,Alpha-Hydroxyhippuric acid,Organic compounds,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,Aromatics
HMDB0002428,Terephthalic acid,Organic compounds,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,Aromatics
HMDB0002432,Sumiki's acid,Organic compounds,Organoheterocyclic compounds,Furans,Furoic acid and derivatives,Heterocycles & nucleotides
HMDB0002434,Hydroquinone,Organic compounds,Benzenoids,Phenols,Benzenediols,Aromatics
HMDB0002455,Pyruvatoxime,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds,Oximes,Nitrogenous & organic acids
HMDB0002467,A-Ketoglutaric acid oxime,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Dicarboxylic acids and derivatives,Nitrogenous & organic acids
HMDB0002511,"3,4,5-Trimethoxycinnamic acid",Organic compounds,Phenylpropanoids and polyketides,Cinnamic acids and derivatives,Hydroxycinnamic acids and derivatives,Aromatics
HMDB0002545,Galacturonic acid,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Organic oxygen compounds
HMDB0002643,3-(3-Hydroxyphenyl)-3-hydroxypropanoic acid,Organic compounds,Phenylpropanoids and polyketides,Phenylpropanoic acids,,Aromatics
HMDB0002649,Erythrose,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Organic oxygen compounds
HMDB0002658,6-Hydroxynicotinic acid,Organic compounds,Organoheterocyclic compounds,Pyridines and derivatives,Pyridinecarboxylic acids and derivatives,Heterocycles & nucleotides
HMDB0002670,Naringenin,Organic compounds,Phenylpropanoids and polyketides,Flavonoids,Flavans,Aromatics
HMDB0002706,Canavanine,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Nitrogenous & organic acids
HMDB0002712,"1,5-Anhydrosorbitol",Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Organic oxygen compounds
HMDB0002721,1-Methylinosine,Organic compounds,"Nucleosides, nucleotides, and analogues",Purine nucleosides,,Heterocycles & nucleotides
HMDB0002755,Myricetin,Organic compounds,Phenylpropanoids and polyketides,Flavonoids,Flavones,Aromatics
HMDB0002780,Catechin,Organic compounds,Phenylpropanoids and polyketides,Flavonoids,Flavans,Aromatics
HMDB0002802,Cortisone,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,Hydroxysteroids,Lipids
HMDB0002820,Methylimidazoleacetic acid,Organic compounds,Organoheterocyclic compounds,Azoles,Imidazoles,Heterocycles & nucleotides
HMDB0002825,Theobromine,Organic compounds,Organoheterocyclic compounds,Imidazopyrimidines,Purines and purine derivatives,Heterocycles & nucleotides
HMDB0002835,Danazol,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,Estrane steroids,Lipids
HMDB0002873,Deacetyldiltiazem,Organic compounds,Organoheterocyclic compounds,Benzothiazepines,,Heterocycles & nucleotides
HMDB0002899,Ellagic acid,Organic compounds,Phenylpropanoids and polyketides,Tannins,Hydrolyzable tannins,Aromatics
HMDB0002917,D-Xylitol,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Organic oxygen compounds
HMDB0002923,Isomaltose,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Organic oxygen compounds
HMDB0002925,Dihomo-gamma-linolenic acid,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Lipids
HMDB0002927,Naringin,Organic compounds,Phenylpropanoids and polyketides,Flavonoids,Flavonoid glycosides,Aromatics
HMDB0002928,Maltitol,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acyl glycosides,Lipids
HMDB0002931,N-Acetylserine,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Nitrogenous & organic acids
HMDB0002939,Methyl isobutyl ketone,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds,Organic oxygen compounds
HMDB0002991,Cysteamine,Organic compounds,Organosulfur compounds,Thiols,Alkylthiols,Other
HMDB0002994,Erythritol,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Organic oxygen compounds
HMDB0003012,Aniline,Organic compounds,Benzenoids,Benzene and substituted derivatives,Aniline and substituted anilines,Aromatics
HMDB0003033,Canrenone,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,Steroid lactones,Lipids
HMDB0003066,Chalcone,Organic compounds,Phenylpropanoids and polyketides,"Linear 1,3-diarylpropanoids",Chalcones and dihydrochalcones,Aromatics
HMDB0003070,Shikimic acid,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Alcohols and polyols,Organic oxygen compounds
HMDB0003072,Quinic acid,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Alcohols and polyols,Organic oxygen compounds
HMDB0003075,Flavone,Organic compounds,Phenylpropanoids and polyketides,Flavonoids,Flavones,Aromatics
HMDB0003099,1-Methyluric acid,Organic compounds,Organoheterocyclic compounds,Imidazopyrimidines,Purines and purine derivatives,Heterocycles & nucleotides
HMDB0003119,Benzyl alcohol,Organic compounds,Benzenoids,Benzene and substituted derivatives,Benzyl alcohols,Aromatics
HMDB0003134,Biocytin,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Nitrogenous & organic acids
HMDB0003152,N-Methylnicotinamide,Organic compounds,Organoheterocyclic compounds,Pyridines and derivatives,Pyridinecarboxylic acids and derivatives,Heterocycles & nucleotides
HMDB0003154,Canthaxanthin,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Tetraterpenoids,Lipids
HMDB0003156,"2,3-Butanediol",Organic compounds,Organic oxygen compounds,Organooxygen compounds,Alcohols and polyols,Organic oxygen compounds
HMDB0003157,Guanidinosuccinic acid,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Nitrogenous & organic acids
HMDB0003164,Chlorogenic acid,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Alcohols and polyols,Organic oxygen compounds
HMDB0003217,Genistein,Organic compounds,Phenylpropanoids and polyketides,Isoflavonoids,Isoflav-2-enes,Aromatics
HMDB0003231,Vaccenic acid,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Lipids
HMDB0003243,Acetoin,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds,Organic oxygen compounds
HMDB0003249,Rutin,Organic compounds,Phenylpropanoids and polyketides,Flavonoids,Flavonoid glycosides,Aromatics
HMDB0003254,Muramic acid,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Organic oxygen compounds
HMDB0003265,Hesperidin,Organic compounds,Phenylpropanoids and polyketides,Flavonoids,Flavonoid glycosides,Aromatics
HMDB0003269,Nicotinuric acid,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Nitrogenous & organic acids
HMDB0003282,1-Methylguanine,Organic compounds,Organoheterocyclic compounds,Imidazopyrimidines,Purines and purine derivatives,Heterocycles & nucleotides
HMDB0003290,Gulonic acid,Organic compounds,Organic acids and derivatives,Hydroxy acids and derivatives,Medium-chain hydroxy acids and derivatives,Nitrogenous & organic acids
HMDB0003306,Phloretin,Organic compounds,Phenylpropanoids and polyketides,"Linear 1,3-diarylpropanoids",Chalcones and dihydrochalcones,Aromatics
HMDB0003312,Daidzein,Organic compounds,Phenylpropanoids and polyketides,Isoflavonoids,Isoflav-2-enes,Aromatics
HMDB0003315,Cyclohexanone,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds,Organic oxygen compounds
HMDB0003320,Indole-3-carboxylic acid,Organic compounds,Organoheterocyclic compounds,Indoles and derivatives,Indolecarboxylic acids and derivatives,Heterocycles & nucleotides
HMDB0003331,1-Methyladenosine,Organic compounds,"Nucleosides, nucleotides, and analogues",Purine nucleosides,,Heterocycles & nucleotides
HMDB0003332,3-Methoxy-4-Hydroxyphenylglycol sulfate,Organic compounds,Benzenoids,Phenols,Methoxyphenols,Aromatics
HMDB0003334,Symmetric dimethylarginine,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Nitrogenous & organic acids
HMDB0003345,alpha-D-Glucose,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Organic oxygen compounds
HMDB0003349,L-Dihydroorotic acid,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Nitrogenous & organic acids
HMDB0003352,Menthol,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Monoterpenoids,Lipids
HMDB0003355,5-Aminopentanoic acid,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Nitrogenous & organic acids
HMDB0003361,Pyrimidine,Organic compounds,Organoheterocyclic compounds,Diazines,Pyrimidines and pyrimidine derivatives,Heterocycles & nucleotides
HMDB0003364,Quinone,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds,Organic oxygen compounds
HMDB0003366,Propanal,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds,Organic oxygen compounds
HMDB0003375,(+)-Limonene,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Monoterpenoids,Lipids
HMDB0003403,Amylose,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Organic oxygen compounds
HMDB0003405,D-Lysine,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Nitrogenous & organic acids
HMDB0003406,D-Serine,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Nitrogenous & organic acids
HMDB0003409,Berberine,Organic compounds,Alkaloids and derivatives,Protoberberine alkaloids and derivatives,,Other
HMDB0003416,D-Arginine,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Nitrogenous & organic acids
HMDB0003417,D-Cysteine,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Nitrogenous & organic acids
HMDB0003418,D-Tagatose,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Organic oxygen compounds
HMDB0003423,D-Glutamine,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Nitrogenous & organic acids
HMDB0003424,1-Hexadecanol,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty alcohols,Lipids
HMDB0003431,L-Histidinol,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds,Amines,Nitrogenous & organic acids
HMDB0003441,Cinnamaldehyde,Organic compounds,Phenylpropanoids and polyketides,Cinnamaldehydes,,Aromatics
HMDB0003447,Tryptophol,Organic compounds,Organoheterocyclic compounds,Indoles and derivatives,Indoles,Heterocycles & nucleotides
HMDB0003464,4-Guanidinobutanoic acid,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Nitrogenous & organic acids
HMDB0003474,"3,5-Diiodo-L-tyrosine",Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Nitrogenous & organic acids
HMDB0003501,cis-Caffeic acid,Organic compounds,Phenylpropanoids and polyketides,Cinnamic acids and derivatives,Hydroxycinnamic acids and derivatives,Aromatics
HMDB0003543,Butanal,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds,Organic oxygen compounds
HMDB0003546,Salicin,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Organic oxygen compounds
HMDB0003553,Stachyose,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Organic oxygen compounds
HMDB0003573,Scopolamine,Organic compounds,Organic acids and derivatives,Hydroxy acids and derivatives,Beta hydroxy acids and derivatives,Nitrogenous & organic acids
HMDB0003634,Perillyl alcohol,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Monoterpenoids,Lipids
HMDB0003640,Beta-Leucine,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Nitrogenous & organic acids
HMDB0003646,N-Methylhydantoin,Organic compounds,Organoheterocyclic compounds,Azolines,Imidazolines,Heterocycles & nucleotides
HMDB0003671,2-Heptanone,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds,Organic oxygen compounds
HMDB0003828,D-Pantethine,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Nitrogenous & organic acids
HMDB0003843,Gamma-Caprolactone,Organic compounds,Organoheterocyclic compounds,Lactones,Gamma butyrolactones,Heterocycles & nucleotides
HMDB0003911,3-Aminoisobutanoic acid,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Nitrogenous & organic acids
HMDB0003966,Selenomethionine,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Nitrogenous & organic acids
HMDB0004041,L-Allothreonine,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Nitrogenous & organic acids
HMDB0004043,alpha-Terpineol,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Monoterpenoids,Lipids
HMDB0004094,Indoxyl,Organic compounds,Organoheterocyclic compounds,Indoles and derivatives,Hydroxyindoles,Heterocycles & nucleotides
HMDB0004095,5-Methoxytryptamine,Organic compounds,Organoheterocyclic compounds,Indoles and derivatives,Tryptamines and derivatives,Heterocycles & nucleotides
HMDB0004110,Phosphonoacetate,Organic compounds,Organic acids and derivatives,Organic phosphonic acids and derivatives,Organic phosphonic acids,Nitrogenous & organic acids
HMDB0004122,Selenocystine,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Nitrogenous & organic acids
HMDB0004136,D-Threitol,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Organic oxygen compounds
HMDB0004230,Pyrrole-2-carboxylic acid,Organic compounds,Organoheterocyclic compounds,Pyrroles,Pyrrole carboxylic acids and derivatives,Heterocycles & nucleotides
HMDB0004296,Acrylamide,Organic compounds,Organic acids and derivatives,Carboximidic acids and derivatives,Carboximidic acids,Nitrogenous & organic acids
HMDB0004321,(-)-Limonene,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Monoterpenoids,Lipids
HMDB0004327,1-Butanol,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Alcohols and polyols,Organic oxygen compounds
HMDB0004350,Anabasine,Organic compounds,Alkaloids and derivatives,,,Other
HMDB0004437,Diethanolamine,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds,Amines,Nitrogenous & organic acids
HMDB0004476,Anatabine,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds,Amines,Nitrogenous & organic acids
HMDB0004487,(S)-Carvone,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Monoterpenoids,Lipids
HMDB0004586,Perillic acid,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Monoterpenoids,Lipids
HMDB0004811,"2,4-Dichlorophenol",Organic compounds,Benzenoids,Benzene and substituted derivatives,Halobenzenes,Aromatics
HMDB0004812,"2,5-Furandicarboxylic acid",Organic compounds,Organoheterocyclic compounds,Furans,Furoic acid and derivatives,Heterocycles & nucleotides
HMDB0004814,4-Heptanone,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds,Organic oxygen compounds
HMDB0004815,4-Hydroxy-3-methylbenzoic acid,Organic compounds,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,Aromatics
HMDB0004816,FAPy-adenine,Organic compounds,Organoheterocyclic compounds,Diazines,Pyrimidines and pyrimidine derivatives,Heterocycles & nucleotides
HMDB0004982,cis-4-Octenedioic acid,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Lipids
HMDB0004983,Dimethyl sulfone,Organic compounds,Organosulfur compounds,Sulfonyls,Sulfones,Other
HMDB0004987,Aspartyllysine,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Nitrogenous & organic acids
HMDB0004992,Benzocaine,Organic compounds,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,Aromatics
HMDB0004998,Guaifenesin,Organic compounds,Benzenoids,Phenol ethers,Anisoles,Aromatics
HMDB0004999,Loperamide,Organic compounds,Benzenoids,Benzene and substituted derivatives,Diphenylmethanes,Aromatics
HMDB0005000,Loratadine,Organic compounds,Organoheterocyclic compounds,Benzocycloheptapyridines,,Heterocycles & nucleotides
HMDB0005005,Tolnaftate,Organic compounds,Benzenoids,Naphthalenes,,Aromatics
HMDB0005008,Lansoprazole,Organic compounds,Organoheterocyclic compounds,Benzimidazoles,Sulfinylbenzimidazoles,Heterocycles & nucleotides
HMDB0005015,Gabapentin,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Nitrogenous & organic acids
HMDB0005016,Venlafaxine,Organic compounds,Benzenoids,Phenol ethers,Anisoles,Aromatics
HMDB0005018,Amlodipine,Organic compounds,Organoheterocyclic compounds,Pyridines and derivatives,Hydropyridines,Heterocycles & nucleotides
HMDB0005035,Ondansetron,Organic compounds,Organoheterocyclic compounds,Indoles and derivatives,Carbazoles,Heterocycles & nucleotides
HMDB0005038,Citalopram,Organic compounds,Benzenoids,Benzene and substituted derivatives,Phenylbutylamines,Aromatics
HMDB0005356,TG(16:0/16:0/16:0),Organic compounds,Lipids and lipid-like molecules,Glycerolipids,Triradylcglycerols,Lipids
HMDB0005785,Indole-3-carbinol,Organic compounds,Organoheterocyclic compounds,Indoles and derivatives,Indoles,Heterocycles & nucleotides
HMDB0005792,Sulforaphane,Organic compounds,Organosulfur compounds,Sulfoxides,,Other
HMDB0005794,Quercetin,Organic compounds,Phenylpropanoids and polyketides,Flavonoids,Flavones,Aromatics
HMDB0005800,Luteolin,Organic compounds,Phenylpropanoids and polyketides,Flavonoids,Flavones,Aromatics
HMDB0005801,Kaempferol,Organic compounds,Phenylpropanoids and polyketides,Flavonoids,Flavones,Aromatics
HMDB0005807,Gallic acid,Organic compounds,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,Aromatics
HMDB0005812,Geraniol,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Monoterpenoids,Lipids
HMDB0005842,2-Oxohexane,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds,Organic oxygen compounds
HMDB0005846,Ethyl isopropyl ketone,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds,Organic oxygen compounds
HMDB0005994,Hexanal,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds,Organic oxygen compounds
HMDB0006024,Mevalonolactone,Organic compounds,Organoheterocyclic compounds,Lactones,Delta valerolactones,Heterocycles & nucleotides
HMDB0006050,o-Tyrosine,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Nitrogenous & organic acids
HMDB0006115,Benzaldehyde,Organic compounds,Benzenoids,Benzene and substituted derivatives,Benzoyl derivatives,Aromatics
HMDB0006219,13-cis-Retinoic acid,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Retinoids,Lipids
HMDB0006331,"cis,cis-Muconic acid",Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Lipids
HMDB0006355,"D-Glucurono-6,3-lactone",Organic compounds,Organoheterocyclic compounds,Furofurans,Isosorbides,Heterocycles & nucleotides
HMDB0006478,Isovaleraldehyde,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds,Organic oxygen compounds
HMDB0006483,D-Aspartic acid,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Nitrogenous & organic acids
HMDB0011599,1-Methyladenine,Organic compounds,Organoheterocyclic compounds,Imidazopyrimidines,Purines and purine derivatives,Heterocycles & nucleotides
HMDB0011600,3-Methyladenine,Organic compounds,Organoheterocyclic compounds,Imidazopyrimidines,Purines and purine derivatives,Heterocycles & nucleotides
HMDB0011603,4-(Methylnitrosamino)-1-(3-pyridyl)-1-butanone,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds,Organic oxygen compounds
HMDB0011614,7-Methyladenine,Organic compounds,Organoheterocyclic compounds,Imidazopyrimidines,Purines and purine derivatives,Heterocycles & nucleotides
HMDB0011619,Arachidyl alcohol,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty alcohols,Lipids
HMDB0011623,Decanal,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds,Organic oxygen compounds
HMDB0011628,Glycyrrhetinic acid,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Triterpenoids,Lipids
HMDB0011632,L-Iditol,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Organic oxygen compounds
HMDB0011634,Norspermidine,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds,Amines,Nitrogenous & organic acids
HMDB0011635,p-Cresol sulfate,Organic compounds,Organic acids and derivatives,Organic sulfuric acids and derivatives,Arylsulfates,Nitrogenous & organic acids
HMDB0011653,"17alpha,20alpha-Dihydroxypregn-4-en-3-one",Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,Pregnane steroids,Lipids
HMDB0011723,2-Methylhippuric acid,Organic compounds,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,Aromatics
HMDB0011733,Glycyl-glycine,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Nitrogenous & organic acids
HMDB0011745,N-Acetyl-L-methionine,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Nitrogenous & organic acids
HMDB0011749,2-Piperidinone,Organic compounds,Organoheterocyclic compounds,Piperidines,Piperidinones,Heterocycles & nucleotides
HMDB0011751,3-Methoxybenzenepropanoic acid,Organic compounds,Phenylpropanoids and polyketides,Phenylpropanoic acids,,Aromatics
HMDB0012127,(R)-2-Benzylsuccinate,Organic compounds,Phenylpropanoids and polyketides,Phenylpropanoic acids,,Aromatics
HMDB0014352,Azithromycin,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Organic oxygen compounds
HMDB0015122,Cytarabine,Organic compounds,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleosides,,Heterocycles & nucleotides
HMDB0034224,Dihydrobrassicasterol,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,Ergostane steroids,Lipids
HMDB0240219,cis-Vaccenic acid,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Lipids
HMDB0240773,DL-Acetylcarnitine,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acid esters,Lipids
HMDB0242149,Xylitol,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Organic oxygen compounds
HMDB0243522,"[(1S,2S,4R,5S)-9-Methyl-3-oxa-9-azatricyclo[3.3.1.02,4]nonan-7-yl] (2S)-3-hydroxy-2-phenylpropanoate",Organic compounds,Organic acids and derivatives,Hydroxy acids and derivatives,Beta hydroxy acids and derivatives,Nitrogenous & organic acids
HMDB0243631,"5,6,7,8-Tetrahydrofolic acid",Organic compounds,Organoheterocyclic compounds,Pteridines and derivatives,Pterins and derivatives,Heterocycles & nucleotides
HMDB0247294,"D-Erythro-7,8-dihydrobiopterin",Organic compounds,Organoheterocyclic compounds,Pteridines and derivatives,Pterins and derivatives,Heterocycles & nucleotides
HMDB0250776,D-Methionine (S)-S-oxide,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Nitrogenous & organic acids
HMDB0250782,"3-[[(2S)-2,4-Dihydroxy-3,3-dimethylbutanoyl]amino]propanoic acid",Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Nitrogenous & organic acids
HMDB0252876,Glycyl-D-proline,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Nitrogenous & organic acids
HMDB0254327,MANNOHEPTULOSE,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Organic oxygen compounds
HMDB0255414,N-Acetyl-1-aspartylglutamic acid,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Nitrogenous & organic acids
HMDB0302211,S-N-Methylcysteine,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Nitrogenous & organic acids
HMDB0302754,2-Aminoadipic acid,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Nitrogenous & organic acids
HMDB0304210,"5,6-dihydrothymine",Organic compounds,Organoheterocyclic compounds,Diazines,Pyrimidines and pyrimidine derivatives,Heterocycles & nucleotides
HMDB0304435,NADP+,Organic compounds,"Nucleosides, nucleotides, and analogues",(5'->5')-dinucleotides,,Heterocycles & nucleotides
