accession,name,kingdom,super_class,class,sub_class
HMDB0000001,1-Methylhistidine,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
HMDB0000002,"1,3-Diaminopropane",Organic compounds,Organic nitrogen compounds,Organonitrogen compounds,Amines
HMDB0000005,2-Ketobutyric acid,Organic compounds,Organic acids and derivatives,Keto acids and derivatives,Short-chain keto acids and derivatives
HMDB0000008,2-Hydroxybutyric acid,Organic compounds,Organic acids and derivatives,Hydroxy acids and derivatives,Alpha hydroxy acids and derivatives
HMDB0000010,2-Methoxyestrone,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,Estrane steroids
HMDB0000011,3-Hydroxybutyric acid,Organic compounds,Organic acids and derivatives,Hydroxy acids and derivatives,Beta hydroxy acids and derivatives
HMDB0000012,Deoxyuridine,Organic compounds,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleosides,Pyrimidine 2'-deoxyribonucleosides
HMDB0000014,Deoxycytidine,Organic compounds,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleosides,Pyrimidine 2'-deoxyribonucleosides
HMDB0000016,Deoxycorticosterone,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,Hydroxysteroids
HMDB0000017,4-Pyridoxic acid,Organic compounds,Organoheterocyclic compounds,Pyridines and derivatives,Pyridinecarboxylic acids and derivatives
HMDB0000019,alpha-Ketoisovaleric acid,Organic compounds,Organic acids and derivatives,Keto acids and derivatives,Short-chain keto acids and derivatives
HMDB0000020,p-Hydroxyphenylacetic acid,Organic compounds,Benzenoids,Phenols,1-hydroxy-2-unsubstituted benzenoids
HMDB0000021,Iodotyrosine,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
HMDB0000022,3-Methoxytyramine,Organic compounds,Benzenoids,Phenols,Methoxyphenols
HMDB0000023,(S)-3-Hydroxyisobutyric acid,Organic compounds,Organic acids and derivatives,Hydroxy acids and derivatives,Beta hydroxy acids and derivatives
HMDB0000026,Ureidopropionic acid,Organic compounds,Organic acids and derivatives,Organic carbonic acids and derivatives,Ureas
HMDB0000030,Biotin,Organic compounds,Organoheterocyclic compounds,Biotin and derivatives,
HMDB0000032,7-Dehydrocholesterol,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,Cholestane steroids
HMDB0000033,Carnosine,Organic compounds,Organic acids and derivatives,Peptidomimetics,Hybrid peptides
HMDB0000034,Adenine,Organic compounds,Organoheterocyclic compounds,Imidazopyrimidines,Purines and purine derivatives
HMDB0000037,Aldosterone,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,Hydroxysteroids
HMDB0000038,Dihydrobiopterin,Organic compounds,Organoheterocyclic compounds,Pteridines and derivatives,Pterins and derivatives
HMDB0000039,Butyric acid,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates
HMDB0000042,Acetic acid,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Carboxylic acids
HMDB0000043,Betaine,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
HMDB0000045,Adenosine monophosphate,Organic compounds,"Nucleosides, nucleotides, and analogues",Purine nucleotides,Purine ribonucleotides
HMDB0000050,Adenosine,Organic compounds,"Nucleosides, nucleotides, and analogues",Purine nucleosides,
HMDB0000052,Argininosuccinic acid,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
HMDB0000053,Androstenedione,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,Androstane steroids
HMDB0000054,Bilirubin,Organic compounds,Organoheterocyclic compounds,Tetrapyrroles and derivatives,Bilirubins
HMDB0000055,Cellobiose,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates
HMDB0000056,beta-Alanine,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
HMDB0000058,Cyclic AMP,Organic compounds,"Nucleosides, nucleotides, and analogues",Purine nucleotides,Cyclic purine nucleotides
HMDB0000060,Acetoacetic acid,Organic compounds,Organic acids and derivatives,Keto acids and derivatives,Short-chain keto acids and derivatives
HMDB0000061,"Adenosine 3',5'-diphosphate",Organic compounds,"Nucleosides, nucleotides, and analogues",Purine nucleotides,Purine ribonucleotides
HMDB0000064,Creatine,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
HMDB0000068,Epinephrine,Organic compounds,Benzenoids,Phenols,Benzenediols
HMDB0000070,Pipecolic acid,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
HMDB0000071,Deoxyinosine,Organic compounds,"Nucleosides, nucleotides, and analogues",Purine nucleosides,Purine 2'-deoxyribonucleosides
HMDB0000072,cis-Aconitic acid,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Tricarboxylic acids and derivatives
HMDB0000073,Dopamine,Organic compounds,Benzenoids,Phenols,Benzenediols
HMDB0000076,Dihydrouracil,Organic compounds,Organoheterocyclic compounds,Diazines,Pyrimidines and pyrimidine derivatives
HMDB0000079,Dihydrothymine,Organic compounds,Organoheterocyclic compounds,Diazines,Pyrimidines and pyrimidine derivatives
HMDB0000082,Cytidine triphosphate,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates
HMDB0000085,Deoxyguanosine,Organic compounds,"Nucleosides, nucleotides, and analogues",Purine nucleosides,Purine 2'-deoxyribonucleosides
HMDB0000086,Glycerophosphocholine,Organic compounds,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphocholines
HMDB0000087,Dimethylamine,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds,Amines
HMDB0000089,Cytidine,Organic compounds,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleosides,
HMDB0000092,Dimethylglycine,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
HMDB0000094,Citric acid,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Tricarboxylic acids and derivatives
HMDB0000095,Cytidine monophosphate,Organic compounds,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleotides,Pyrimidine ribonucleotides
HMDB0000097,Choline,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds,Quaternary ammonium salts
HMDB0000098,D-Xylose,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates
HMDB0000099,L-Cystathionine,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
HMDB0000101,Deoxyadenosine,Organic compounds,"Nucleosides, nucleotides, and analogues",Purine nucleosides,Purine 2'-deoxyribonucleosides
HMDB0000107,Galactitol,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates
HMDB0000108,Ethanol,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Alcohols and polyols
HMDB0000112,gamma-Aminobutyric acid,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
HMDB0000115,Glycolic acid,Organic compounds,Organic acids and derivatives,Hydroxy acids and derivatives,Alpha hydroxy acids and derivatives
HMDB0000118,Homovanillic acid,Organic compounds,Benzenoids,Phenols,Methoxyphenols
HMDB0000119,Glyoxylic acid,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Carboxylic acids
HMDB0000121,Folic acid,Organic compounds,Benzenoids,Phenols,Methoxyphenols
HMDB0000122,D-Glucose,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates
HMDB0000123,Glycine,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
HMDB0000124,Fructose 6-phosphate,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates
HMDB0000125,Glutathione,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
HMDB0000126,Glycerol 3-phosphate,Organic compounds,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphates
HMDB0000127,D-Glucuronic acid,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates
HMDB0000128,Guanidoacetic acid,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
HMDB0000130,Homogentisic acid,Organic compounds,Benzenoids,Benzene and substituted derivatives,Phenylacetic acids
HMDB0000131,Glycerol,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates
HMDB0000132,Guanine,Organic compounds,Organoheterocyclic compounds,Imidazopyrimidines,Purines and purine derivatives
HMDB0000133,Guanosine,Organic compounds,"Nucleosides, nucleotides, and analogues",Purine nucleosides,
HMDB0000134,Fumaric acid,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Dicarboxylic acids and derivatives
HMDB0000138,Glycocholic acid,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,"Bile acids, alcohols and derivatives"
HMDB0000139,Glyceric acid,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates
HMDB0000142,Formic acid,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Carboxylic acids
HMDB0000143,D-Galactose,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates
HMDB0000148,L-Glutamic acid,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
HMDB0000149,Ethanolamine,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds,Amines
HMDB0000150,Gluconolactone,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates
HMDB0000151,Estradiol,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,Estrane steroids
HMDB0000152,Gentisic acid,Organic compounds,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives
HMDB0000153,Estriol,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,Estrane steroids
HMDB0000156,Malic acid,Organic compounds,Organic acids and derivatives,Hydroxy acids and derivatives,Beta hydroxy acids and derivatives
HMDB0000157,Hypoxanthine,Organic compounds,Organoheterocyclic compounds,Imidazopyrimidines,Purines and purine derivatives
HMDB0000158,L-Tyrosine,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
HMDB0000159,L-Phenylalanine,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
HMDB0000161,L-Alanine,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
HMDB0000162,L-Proline,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
HMDB0000163,D-Maltose,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates
HMDB0000164,Methylamine,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds,Amines
HMDB0000167,L-Threonine,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
HMDB0000168,L-Asparagine,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
HMDB0000169,D-Mannose,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates
HMDB0000172,L-Isoleucine,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
HMDB0000174,L-Fucose,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates
HMDB0000175,Inosinic acid,Organic compounds,"Nucleosides, nucleotides, and analogues",Purine nucleotides,Purine ribonucleotides
HMDB0000176,Maleic acid,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Dicarboxylic acids and derivatives
HMDB0000177,L-Histidine,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
HMDB0000181,L-Dopa,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
HMDB0000182,L-Lysine,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
HMDB0000186,Alpha-Lactose,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates
HMDB0000187,L-Serine,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
HMDB0000189,Inosine triphosphate,Organic compounds,"Nucleosides, nucleotides, and analogues",Purine nucleotides,Purine ribonucleotides
HMDB0000190,L-Lactic acid,Organic compounds,Organic acids and derivatives,Hydroxy acids and derivatives,Alpha hydroxy acids and derivatives
HMDB0000191,L-Aspartic acid,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
HMDB0000192,L-Cystine,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
HMDB0000193,Isocitric acid,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Tricarboxylic acids and derivatives
HMDB0000194,Anserine,Organic compounds,Organic acids and derivatives,Peptidomimetics,Hybrid peptides
HMDB0000195,Inosine,Organic compounds,"Nucleosides, nucleotides, and analogues",Purine nucleosides,
HMDB0000197,Indoleacetic acid,Organic compounds,Organoheterocyclic compounds,Indoles and derivatives,Indolyl carboxylic acids and derivatives
HMDB0000201,L-Acetylcarnitine,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acid esters
HMDB0000202,Methylmalonic acid,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Dicarboxylic acids and derivatives
HMDB0000205,Phenylpyruvic acid,Organic compounds,Benzenoids,Benzene and substituted derivatives,Phenylpyruvic acid derivatives
HMDB0000206,N6-Acetyl-L-lysine,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
HMDB0000207,Oleic acid,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates
HMDB0000208,Oxoglutaric acid,Organic compounds,Organic acids and derivatives,Keto acids and derivatives,Gamma-keto acids and derivatives
HMDB0000209,Phenylacetic acid,Organic compounds,Benzenoids,Benzene and substituted derivatives,
HMDB0000211,myo-Inositol,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Alcohols and polyols
HMDB0000212,N-Acetylgalactosamine,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates
HMDB0000214,Ornithine,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
HMDB0000216,Norepinephrine,Organic compounds,Benzenoids,Phenols,Benzenediols
HMDB0000217,NADP,Organic compounds,Benzenoids,Phenols,Benzenediols
HMDB0000220,Palmitic acid,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates
HMDB0000222,Palmitoylcarnitine,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acid esters
HMDB0000223,Oxalacetic acid,Organic compounds,Organic acids and derivatives,Keto acids and derivatives,Short-chain keto acids and derivatives
HMDB0000224,O-Phosphoethanolamine,Organic compounds,Organic acids and derivatives,Organic phosphoric acids and derivatives,Phosphate esters
HMDB0000225,Oxoadipic acid,Organic compounds,Organic acids and derivatives,Keto acids and derivatives,Medium-chain keto acids and derivatives
HMDB0000226,Orotic acid,Organic compounds,Organoheterocyclic compounds,Diazines,Pyrimidines and pyrimidine derivatives
HMDB0000227,Mevalonic acid,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates
HMDB0000228,Phenol,Organic compounds,Benzenoids,Phenols,1-hydroxy-4-unsubstituted benzenoids
HMDB0000230,N-Acetylneuraminic acid,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates
HMDB0000232,Quinolinic acid,Organic compounds,Organoheterocyclic compounds,Pyridines and derivatives,Pyridinecarboxylic acids and derivatives
HMDB0000234,Testosterone,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,Androstane steroids
HMDB0000235,Thiamine,Organic compounds,Organoheterocyclic compounds,Diazines,Pyrimidines and pyrimidine derivatives
HMDB0000237,Propionic acid,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Carboxylic acids
HMDB0000238,Sepiapterin,Organic compounds,Organoheterocyclic compounds,Pteridines and derivatives,Pterins and derivatives
HMDB0000239,Pyridoxine,Organic compounds,Organoheterocyclic compounds,Pyridines and derivatives,Pyridoxines
HMDB0000243,Pyruvic acid,Organic compounds,Organic acids and derivatives,Keto acids and derivatives,Alpha-keto acids and derivatives
HMDB0000244,Riboflavin,Organic compounds,Organoheterocyclic compounds,Pteridines and derivatives,Alloxazines and isoalloxazines
HMDB0000246,Tetrahydrofuran,Organic compounds,Organoheterocyclic compounds,Tetrahydrofurans,
HMDB0000247,Sorbitol,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates
HMDB0000248,Thyroxine,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
HMDB0000251,Taurine,Organic compounds,Organic acids and derivatives,Organic sulfonic acids and derivatives,Organosulfonic acids and derivatives
HMDB0000252,Sphingosine,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds,Amines
HMDB0000254,Succinic acid,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Dicarboxylic acids and derivatives
HMDB0000258,Sucrose,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates
HMDB0000259,Serotonin,Organic compounds,Organoheterocyclic compounds,Indoles and derivatives,Tryptamines and derivatives
HMDB0000262,Thymine,Organic compounds,Organoheterocyclic compounds,Diazines,Pyrimidines and pyrimidine derivatives
HMDB0000263,Phosphoenolpyruvic acid,Organic compounds,Organic acids and derivatives,Organic phosphoric acids and derivatives,Phosphate esters
HMDB0000265,Liothyronine,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
HMDB0000267,Pyroglutamic acid,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
HMDB0000269,Sphinganine,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds,Amines
HMDB0000271,Sarcosine,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
HMDB0000272,Phosphoserine,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
HMDB0000273,Thymidine,Organic compounds,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleosides,Pyrimidine 2'-deoxyribonucleosides
HMDB0000279,Saccharopine,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
HMDB0000283,D-Ribose,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates
HMDB0000286,Uridine diphosphate glucose,Organic compounds,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleotides,Pyrimidine nucleotide sugars
HMDB0000288,Uridine 5'-monophosphate,Organic compounds,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleotides,Pyrimidine ribonucleotides
HMDB0000290,Uridine diphosphate-N-acetylglucosamine,Organic compounds,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleotides,Pyrimidine nucleotide sugars
HMDB0000291,Vanillylmandelic acid,Organic compounds,Benzenoids,Phenols,Methoxyphenols
HMDB0000292,Xanthine,Organic compounds,Organoheterocyclic compounds,Imidazopyrimidines,Purines and purine derivatives
HMDB0000294,Urea,Organic compounds,Organic acids and derivatives,Organic carbonic acids and derivatives,Ureas
HMDB0000295,Uridine 5'-diphosphate,Organic compounds,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleotides,Pyrimidine ribonucleotides
HMDB0000296,Uridine,Organic compounds,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleosides,
HMDB0000299,Xanthosine,Organic compounds,"Nucleosides, nucleotides, and analogues",Purine nucleosides,
HMDB0000300,Uracil,Organic compounds,Organoheterocyclic compounds,Diazines,Pyrimidines and pyrimidine derivatives
HMDB0000301,Urocanic acid,Organic compounds,Organoheterocyclic compounds,Azoles,Imidazoles
HMDB0000302,Uridine diphosphategalactose,Organic compounds,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleotides,Pyrimidine nucleotide sugars
HMDB0000303,Tryptamine,Organic compounds,Organoheterocyclic compounds,Indoles and derivatives,Tryptamines and derivatives
HMDB0000306,Tyramine,Organic compounds,Benzenoids,Benzene and substituted derivatives,Phenethylamines
HMDB0000308,3b-Hydroxy-5-cholenoic acid,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,"Bile acids, alcohols and derivatives"
HMDB0000310,Methylacetoacetic acid,Organic compounds,Organic acids and derivatives,Keto acids and derivatives,Beta-keto acids and derivatives
HMDB0000315,16-a-Hydroxypregnenolone,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,Pregnane steroids
HMDB0000318,"3,4-Dihydroxyphenylglycol",Organic compounds,Benzenoids,Phenols,Benzenediols
HMDB0000321,2-Hydroxyadipic acid,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates
HMDB0000325,3-Hydroxysuberic acid,Organic compounds,Organic acids and derivatives,Hydroxy acids and derivatives,Medium-chain hydroxy acids and derivatives
HMDB0000329,2-Phenylbutyric acid,Organic compounds,Benzenoids,Benzene and substituted derivatives,Phenylpropanes
HMDB0000335,16a-Hydroxyestrone,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,Estrane steroids
HMDB0000336,(R)-3-Hydroxyisobutyric acid,Organic compounds,Organic acids and derivatives,Hydroxy acids and derivatives,Beta hydroxy acids and derivatives
HMDB0000338,2-Hydroxyestradiol,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,Estrane steroids
HMDB0000339,2-Methylbutyrylglycine,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
HMDB0000341,2-Octenedioic acid,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates
HMDB0000343,2-Hydroxyestrone,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,Estrane steroids
HMDB0000346,3-Deoxyarabinohexonic acid,Organic compounds,Organic acids and derivatives,Hydroxy acids and derivatives,Medium-chain hydroxy acids and derivatives
HMDB0000347,16b-Hydroxyestradiol,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,Estrane steroids
HMDB0000350,3-Hydroxysebacic acid,Organic compounds,Organic acids and derivatives,Hydroxy acids and derivatives,Medium-chain hydroxy acids and derivatives
HMDB0000355,3-Hydroxymethylglutaric acid,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates
HMDB0000363,17a-Hydroxypregnenolone,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,Pregnane steroids
HMDB0000364,"3a,6a,7b-Trihydroxy-5b-cholanoic acid",Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,"Bile acids, alcohols and derivatives"
HMDB0000365,Epiandrosterone,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,Androstane steroids
HMDB0000370,2-Amino-3-phosphonopropionic acid,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
HMDB0000374,17-Hydroxyprogesterone,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,Pregnane steroids
HMDB0000378,2-Methylbutyroylcarnitine,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acid esters
HMDB0000387,3-Hydroxydodecanoic acid,Organic compounds,Organic acids and derivatives,Hydroxy acids and derivatives,Medium-chain hydroxy acids and derivatives
HMDB0000392,2-Octenoic acid,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates
HMDB0000393,3-Hexenedioic acid,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates
HMDB0000394,3-Hydroxytetradecanedioic acid,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates
HMDB0000398,3-Oxoadipic acid,Organic compounds,Organic acids and derivatives,Keto acids and derivatives,Medium-chain keto acids and derivatives
HMDB0000402,2-Isopropylmalic acid,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates
HMDB0000405,2-Methoxyestradiol,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,Estrane steroids
HMDB0000407,2-Hydroxy-3-methylbutyric acid,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates
HMDB0000408,2-Methyl-3-ketovaleric acid,Organic compounds,Organic acids and derivatives,Keto acids and derivatives,Short-chain keto acids and derivatives
HMDB0000413,3-Hydroxydodecanedioic acid,Organic compounds,Organic acids and derivatives,Hydroxy acids and derivatives,Medium-chain hydroxy acids and derivatives
HMDB0000415,"3a,6b,7b-Trihydroxy-5b-cholanoic acid",Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,"Bile acids, alcohols and derivatives"
HMDB0000421,"2,3-Dihydroxyvaleric acid",Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates
HMDB0000423,"3,4-Dihydroxyhydrocinnamic acid",Organic compounds,Phenylpropanoids and polyketides,Phenylpropanoic acids,
HMDB0000424,2-Hydroxydecanedioic acid,Organic compounds,Organic acids and derivatives,Hydroxy acids and derivatives,Medium-chain hydroxy acids and derivatives
HMDB0000426,Citramalic acid,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates
HMDB0000428,3-Hydroxyglutaric acid,Organic compounds,Organic acids and derivatives,Hydroxy acids and derivatives,Beta hydroxy acids and derivatives
HMDB0000429,17alpha-Estradiol,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,Estrane steroids
HMDB0000434,Homoveratric acid,Organic compounds,Benzenoids,Benzene and substituted derivatives,Methoxybenzenes
HMDB0000439,2-Furoylglycine,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
HMDB0000440,3-Hydroxyphenylacetic acid,Organic compounds,Benzenoids,Phenols,1-hydroxy-4-unsubstituted benzenoids
HMDB0000442,(S)-3-Hydroxybutyric acid,Organic compounds,Organic acids and derivatives,Hydroxy acids and derivatives,Beta hydroxy acids and derivatives
HMDB0000444,3-Furoic acid,Organic compounds,Organoheterocyclic compounds,Furans,Furoic acid and derivatives
HMDB0000446,N-alpha-Acetyl-L-lysine,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
HMDB0000448,Adipic acid,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates
HMDB0000450,5-Hydroxylysine,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
HMDB0000452,L-alpha-Aminobutyric acid,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
HMDB0000453,delta-Hexanolactone,Organic compounds,Organoheterocyclic compounds,Lactones,Delta valerolactones
HMDB0000455,Allocystathionine,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
